location,date,peak_demand,min_demand,avg_demand,avg_temp,avg_wind,avg_solar
"Oakland, California, USA",2016-03-03,19541.8911,13013.2859,16287.487629166666,13.89691675,7.4707970625,64.79166666666667
"Oakland, California, USA",2016-03-04,19638.1911,13556.4672,16649.342220833332,14.719833541666667,7.049748091666667,56.458333333333336
"Oakland, California, USA",2016-03-05,16173.0894,13171.5529,14712.641275,14.346916666666667,15.698225458333333,55.375
"Oakland, California, USA",2016-03-06,15576.6579,12633.3786,13959.138770833333,12.146916666666668,19.500399304166667,149.08333333333334
"Oakland, California, USA",2016-03-07,18718.9195,12304.2497,15674.2426875,10.159416666666667,14.258610558333332,138.125
"Oakland, California, USA",2016-03-08,18699.8984,12299.4742,15821.594966666666,9.6615,11.150696941666666,148.08333333333334
"Oakland, California, USA",2016-03-09,19587.7662,12554.2577,16296.758766666666,11.476083416666667,7.3009871125,87.5
"Oakland, California, USA",2016-03-10,19856.7456,13147.5295,16570.04235,13.89691675,11.979505791666666,66.70833333333333
"Oakland, California, USA",2016-03-11,18419.3396,12933.2786,15652.194150000001,12.688583333333334,14.931507991666669,60.875
"Oakland, California, USA",2016-03-12,15616.9685,12538.9488,13985.8444875,10.957333333333333,19.821151416666666,98.125
"Oakland, California, USA",2016-03-13,15575.0995,12243.1269,14038.774160869567,12.302260869565217,16.149387413043478,45.78260869565217
"Oakland, California, USA",2016-03-14,18577.638,12720.1147,15694.973620833334,12.094833333333334,13.102932279166666,143.0
"Oakland, California, USA",2016-03-15,19103.3757,12287.8224,15893.636658333335,10.613583375,6.891354324999999,239.95833333333334
"Oakland, California, USA",2016-03-16,19380.8705,12704.5575,16131.762637500002,12.799000249999999,5.789719770833333,246.79166666666666
"Oakland, California, USA",2016-03-17,19570.8312,12783.5469,16199.810258333333,14.961500208333334,5.525625036666667,247.875
"Oakland, California, USA",2016-03-18,18592.9324,12659.637,15403.980912500001,13.932333666666667,7.663381791666667,229.04166666666666
"Oakland, California, USA",2016-03-19,15600.1282,12068.932,13735.738749999999,12.609416833333333,7.9653424458333335,197.04166666666666
"Oakland, California, USA",2016-03-20,15372.9336,12488.9765,13791.288716666668,13.299000125,10.543444616666667,147.54166666666666
"Oakland, California, USA",2016-03-21,17791.1585,12608.873,15051.587383333333,12.674000041666666,14.0562689375,147.04166666666666
"Oakland, California, USA",2016-03-22,17818.3525,12553.0445,15080.813475,10.692749999999998,11.078317266666666,223.08333333333334
"Oakland, California, USA",2016-03-23,18495.825,12344.1793,15269.557983333332,11.182333416666665,7.849535575,242.79166666666666
"Oakland, California, USA",2016-03-24,18989.3031,12560.0756,15620.529675,12.657333541666667,8.911047379166666,260.9583333333333
"Oakland, California, USA",2016-03-25,16638.2292,12218.3793,14334.890983333333,12.994833541666667,8.146704254166666,262.125
"Oakland, California, USA",2016-03-26,16521.4518,12131.0354,14302.998408333333,13.638583458333335,8.860056104166667,265.4166666666667
"Oakland, California, USA",2016-03-27,15685.4306,12578.7262,13907.661658333333,14.019833458333332,13.149598583333335,255.375
"Oakland, California, USA",2016-03-28,18576.6383,12038.3144,15495.811575,11.00316675,19.261633333333332,265.9583333333333
"Oakland, California, USA",2016-03-29,19167.8885,12731.9054,15867.938025000001,10.701083416666668,8.430377258333333,266.125
"Oakland, California, USA",2016-03-30,18658.837,12677.1668,15830.842045833333,10.724000166666668,9.359763625000001,258.7083333333333
"Oakland, California, USA",2016-03-31,19052.1119,12831.6722,16103.212091666666,12.013583458333335,9.5108860875,261.2916666666667
"Oakland, California, USA",2016-04-01,18827.3396,12948.5256,16031.206745833333,11.974000041666665,11.480761966666668,253.70833333333334
"Oakland, California, USA",2016-04-02,16778.3654,12791.5899,14726.407645833335,12.488583458333332,7.3781646875,261.375
"Oakland, California, USA",2016-04-03,15839.0682,12762.8561,14374.053537499998,12.449000166666666,9.367376208333333,257.625
"Oakland, California, USA",2016-04-04,20179.6746,13216.0963,16742.932666666668,14.415666833333333,10.578090229166667,282.9583333333333
"Oakland, California, USA",2016-04-05,19786.7663,13019.2144,16901.875841666668,15.988583708333335,6.766027429166667,292.7916666666667
"Oakland, California, USA",2016-04-06,20355.6216,13587.2545,17287.002637499998,19.39691708333333,9.267694795833334,293.7083333333333
"Oakland, California, USA",2016-04-07,19825.9649,13903.2666,16792.51744583333,19.182333708333335,8.945372616666667,230.25
"Oakland, California, USA",2016-04-08,19536.1887,13729.6663,16505.480591666666,14.903166916666665,8.0758613875,200.75
"Oakland, California, USA",2016-04-09,16117.8346,13277.1214,14706.192458333333,13.663583375,8.338280591666667,101.83333333333333
"Oakland, California, USA",2016-04-10,15510.3623,13085.3407,14299.643545833334,12.751083333333334,9.172834233333333,96.70833333333333
"Oakland, California, USA",2016-04-11,19429.7001,13245.1223,16378.365437499999,12.97191675,7.835457637499999,128.70833333333334
"Oakland, California, USA",2016-04-12,19123.2467,13457.2968,16263.667470833332,12.66775,10.031293091666667,190.5
"Oakland, California, USA",2016-04-13,19075.9891,13314.1104,16196.655866666666,12.467750125,12.8560600125,289.4583333333333
"Oakland, California, USA",2016-04-14,19181.1533,13387.256,16116.525912500001,12.16775,13.519635125,279.0416666666667
"Oakland, California, USA",2016-04-15,19748.606,13260.9435,16396.830495833332,12.361500166666666,15.740587499999998,301.3333333333333
"Oakland, California, USA",2016-04-16,17995.4541,13736.2458,15580.282654166667,16.371916875,7.890197533333333,312.3333333333333
"Oakland, California, USA",2016-04-17,17278.3513,13450.6495,15283.881820833332,17.834416833333332,5.4704284375,311.125
"Oakland, California, USA",2016-04-18,20251.743,13679.3041,17023.368620833335,19.084416958333332,4.949656445833333,314.3333333333333
"Oakland, California, USA",2016-04-19,20672.4887,13996.3531,17147.196654166666,18.078166916666667,6.452031816666666,302.9166666666667
"Oakland, California, USA",2016-04-20,20182.0989,13168.5034,16722.82155,15.788583833333334,8.077030525,292.75
"Oakland, California, USA",2016-04-21,20281.9734,13576.565,16933.4211875,16.174000125,9.459412695833334,216.875
"Oakland, California, USA",2016-04-22,18920.1802,13624.759,16196.359825,14.357333375000001,19.88081125,183.29166666666666
"Oakland, California, USA",2016-04-23,16279.9566,12746.1287,14457.3562,12.676083416666666,11.223811120833332,270.1666666666667
"Oakland, California, USA",2016-04-24,16320.311,12767.6764,14263.174620833333,13.928166875,14.454112375,281.4166666666667
"Oakland, California, USA",2016-04-25,19585.677,12610.0169,16123.841608333334,12.121916791666665,20.00730325,324.7916666666667
"Oakland, California, USA",2016-04-26,19672.9702,13138.7267,16293.096887499998,12.692750166666668,10.106454004166666,302.7916666666667
"Oakland, California, USA",2016-04-27,19379.0136,12922.3209,16142.646991666667,12.757333458333333,16.951141125,214.66666666666666
